step,episode,score,length,time
3032,1,55.0,381,0.4233379364013672
3104,2,50.0,390,0.43436694145202637
3856,3,80.0,484,0.5221750736236572
3872,4,110.0,486,0.5287461280822754
3952,5,65.0,496,0.5403859615325928
4544,6,150.0,570,0.6104886531829834
4592,7,110.0,576,0.6210062503814697
5704,8,415.0,715,0.7473163604736328
6640,9,45.0,264,0.8568603992462158
7104,10,85.0,511,0.9115438461303711
7120,11,35.0,504,0.9170830249786377
7920,12,120.0,498,1.0103039741516113
8064,13,110.0,436,1.0320134162902832
8728,14,255.0,609,1.1073691844940186
8872,15,130.0,629,1.128885269165039
9128,16,120.0,430,1.1604242324829102
11264,17,120.0,520,1.416874647140503
11464,18,155.0,605,1.4426839351654053
11808,19,190.0,470,1.4847743511199951
12848,20,215.0,618,1.6178228855133057
12976,21,165.0,515,1.6349313259124756
13352,22,80.0,580,1.6811363697052002
14672,23,300.0,948,1.8294999599456787
15088,24,195.0,480,1.8807637691497803
15184,25,185.0,759,1.8958165645599365
15720,26,60.0,361,1.9602105617523193
16264,27,135.0,602,2.025061845779419
17008,28,130.0,652,2.1134166717529297
17160,29,130.0,525,2.134003162384033
17776,30,30.0,390,2.208857297897339
18672,31,60.0,303,2.31490421295166
19304,32,60.0,450,2.395533561706543
19520,33,115.0,544,2.4239373207092285
20352,34,165.0,877,2.5220444202423096
20920,35,150.0,395,2.5909080505371094
21016,36,155.0,484,2.6051039695739746
21248,37,200.0,772,2.6343915462493896
22656,38,245.0,708,2.7966341972351074
23168,39,80.0,458,2.856964588165283
23336,40,75.0,375,2.879727363586426
23352,41,335.0,587,2.884626865386963
24184,42,155.0,398,2.980804681777954
25376,43,240.0,761,3.1186439990997314
25616,44,155.0,589,3.149951696395874
26912,45,80.0,449,3.3028342723846436
27480,46,225.0,605,3.369925022125244
27736,47,50.0,446,3.4025580883026123
28184,48,30.0,323,3.4562883377075195
28296,49,380.0,883,3.472858428955078
29112,50,95.0,469,3.567466974258423
29224,51,210.0,736,3.584240436553955
29472,52,75.0,322,3.616161584854126
30672,53,35.0,401,3.7573368549346924
31176,54,420.0,1003,3.8198788166046143
31216,55,110.0,381,3.828695774078369
31640,56,160.0,490,3.88045597076416
32328,57,110.0,390,3.965100049972534
32624,58,135.0,396,4.00199031829834
33040,59,210.0,595,4.053520917892456
33168,60,125.0,509,4.072098970413208
33320,61,90.0,333,4.093175888061523
35472,62,100.0,539,4.341777801513672
36280,63,210.0,496,4.436456680297852
36592,64,100.0,498,4.474992513656616
36672,65,95.0,440,4.487335681915283
37096,66,155.0,474,4.539425611495972
37128,67,250.0,741,4.545596599578857
37152,68,210.0,691,4.553173780441284
38184,69,120.0,645,4.670515537261963
38928,70,20.0,294,4.756582975387573
39368,71,150.0,489,4.809779405593872
39416,72,100.0,288,4.819048881530762
40320,73,120.0,507,4.926950693130493
41072,74,70.0,363,5.013164281845093
41272,75,355.0,524,5.041638135910034
41632,76,205.0,622,5.086070775985718
41888,77,35.0,311,5.119055986404419
42296,78,55.0,423,5.170519828796387
42720,79,165.0,698,5.223642349243164
43680,80,200.0,541,5.335567474365234
44184,81,180.0,485,5.395939588546753
45096,82,140.0,480,5.49810791015625
45216,83,130.0,450,5.516331911087036
45688,84,180.0,477,5.572636842727661
46024,85,85.0,468,5.614925384521484
46680,86,290.0,703,5.692070484161377
46896,87,120.0,524,5.720580577850342
47872,88,155.0,526,5.8290650844573975
48680,89,105.0,334,5.921565771102905
48680,90,110.0,564,5.921565771102905
48840,91,110.0,396,5.943392276763916
49056,92,45.0,497,5.971136093139648
49528,93,120.0,541,6.025570869445801
51224,94,80.0,421,8.41765022277832
51616,95,140.0,619,8.768745422363281
52072,96,110.0,379,9.1692054271698
52328,97,105.0,438,9.398199319839478
52496,98,15.0,373,9.544998168945312
52536,99,125.0,707,9.57923436164856
52544,100,55.0,485,9.586939573287964
53048,101,65.0,548,10.029594421386719
54016,102,30.0,302,10.8791983127594
54416,103,95.0,295,11.222047567367554
55208,104,45.0,362,11.917538404464722
55424,105,35.0,299,12.108287811279297
55568,106,65.0,545,12.232482433319092
56224,107,75.0,462,12.815608739852905
56376,108,40.0,297,12.955494165420532
56576,109,70.0,507,13.140546560287476
57072,110,110.0,574,13.593461513519287
58376,111,55.0,398,14.757564306259155
58624,112,85.0,528,14.976659297943115
59264,113,135.0,382,15.537887573242188
59536,114,105.0,516,15.778121948242188
59672,115,55.0,389,15.900598049163818
60128,116,110.0,384,16.312754154205322
60912,117,240.0,670,17.048293352127075
62184,118,120.0,478,18.17720913887024
