step,episode,score,length,time
3032,1,55.0,381,0.42586684226989746
3104,2,50.0,390,0.4388093948364258
3856,3,80.0,484,0.5251548290252686
3872,4,110.0,486,0.5303552150726318
3952,5,65.0,496,0.5428175926208496
4544,6,150.0,570,0.6126649379730225
4592,7,110.0,576,0.6222343444824219
5704,8,415.0,715,0.7475688457489014
6640,9,45.0,264,0.8542680740356445
7104,10,85.0,511,0.9102621078491211
7120,11,35.0,504,0.9168624877929688
7920,12,120.0,498,1.0073091983795166
8064,13,110.0,436,1.0269300937652588
8728,14,255.0,609,1.1047658920288086
8872,15,130.0,629,1.1255998611450195
9128,16,120.0,430,1.1575791835784912
11264,17,120.0,520,1.3992598056793213
11464,18,155.0,605,1.4244470596313477
11808,19,190.0,470,1.4668314456939697
12848,20,215.0,618,1.5995368957519531
12976,21,165.0,515,1.6173927783966064
13352,22,80.0,580,1.6622788906097412
14672,23,300.0,948,1.8080635070800781
15088,24,195.0,480,1.858654260635376
15184,25,185.0,759,1.872725486755371
15720,26,60.0,361,1.936155080795288
16264,27,135.0,602,2.0003366470336914
17008,28,130.0,652,2.0876049995422363
17160,29,130.0,525,2.1076247692108154
17776,30,30.0,390,2.1808128356933594
18672,31,60.0,303,2.299335479736328
19304,32,60.0,450,2.372629165649414
19520,33,115.0,544,2.4003937244415283
20352,34,165.0,877,2.4969823360443115
20920,35,150.0,395,2.563829183578491
21016,36,155.0,484,2.578118324279785
21248,37,200.0,772,2.608332633972168
22656,38,245.0,708,2.766331911087036
23168,39,80.0,458,2.8290536403656006
23336,40,75.0,375,2.851836681365967
23352,41,335.0,587,2.8573555946350098
24184,42,155.0,398,2.955361843109131
25376,43,240.0,761,3.0905921459198
25616,44,155.0,589,3.1208345890045166
26912,45,80.0,449,3.2667429447174072
27480,46,225.0,605,3.332472324371338
27736,47,50.0,446,3.3640313148498535
28184,48,30.0,323,3.415447473526001
28296,49,380.0,883,3.4321579933166504
29112,50,95.0,469,3.52288556098938
29224,51,210.0,736,3.5386481285095215
29472,52,75.0,322,3.569420576095581
30672,53,35.0,401,3.709754228591919
31176,54,420.0,1003,3.7663187980651855
31216,55,110.0,381,3.7745795249938965
31640,56,160.0,490,3.8250906467437744
32328,57,110.0,390,3.9064974784851074
32624,58,135.0,396,3.9435641765594482
33040,59,210.0,595,3.9922256469726562
33168,60,125.0,509,4.010626316070557
33320,61,90.0,333,4.031600475311279
35472,62,100.0,539,4.272925853729248
36280,63,210.0,496,4.367220878601074
36592,64,100.0,498,4.405870676040649
36672,65,95.0,440,4.418900966644287
37096,66,155.0,474,4.46894645690918
37128,67,250.0,741,4.475754499435425
37152,68,210.0,691,4.4827916622161865
38184,69,120.0,645,4.601353406906128
38928,70,20.0,294,4.689305543899536
39368,71,150.0,489,4.741394519805908
39416,72,100.0,288,4.749451160430908
40320,73,120.0,507,4.855475187301636
41072,74,70.0,363,4.941817760467529
41272,75,355.0,524,4.967926025390625
41632,76,205.0,622,5.010293483734131
41888,77,35.0,311,5.042213439941406
42296,78,55.0,423,5.090005159378052
42720,79,165.0,698,5.1407952308654785
43680,80,200.0,541,5.247287750244141
44184,81,180.0,485,5.307420492172241
45096,82,140.0,480,5.414966106414795
45216,83,130.0,450,5.4328553676605225
45688,84,180.0,477,5.489452600479126
46024,85,85.0,468,5.529517889022827
46680,86,290.0,703,5.605196952819824
46896,87,120.0,524,5.6335015296936035
47872,88,155.0,526,5.740318536758423
48680,89,105.0,334,5.834478855133057
48680,90,110.0,564,5.834478855133057
48840,91,110.0,396,5.856370449066162
49056,92,45.0,497,5.88344144821167
49528,93,120.0,541,5.938776016235352
51224,94,80.0,421,7.848628759384155
51616,95,140.0,619,8.234644174575806
52072,96,110.0,379,8.683582067489624
52328,97,105.0,438,8.935992002487183
52496,98,15.0,373,9.1009681224823
52536,99,125.0,707,9.140224695205688
52544,100,55.0,485,9.147686958312988
53048,101,65.0,548,9.652365684509277
54016,102,30.0,302,10.608397483825684
54416,103,95.0,295,11.003065347671509
55392,104,90.0,523,11.956674814224243
55424,105,35.0,299,11.990173101425171
56184,106,15.0,458,12.750775337219238
56224,107,75.0,462,12.796631097793579
57184,108,210.0,609,13.801124334335327
57232,109,155.0,594,13.849165439605713
57328,110,110.0,416,13.941874980926514
58536,111,125.0,517,15.1468186378479
59232,112,80.0,383,15.89116907119751
59264,113,135.0,382,15.92901062965393
59504,114,185.0,516,16.20589017868042
59536,115,105.0,516,16.240062713623047
59600,116,25.0,298,16.309746742248535
60936,117,135.0,471,17.870994806289673
61600,118,180.0,536,18.649330615997314
62440,119,35.0,399,19.529911279678345
62904,120,120.0,423,19.985848426818848
63320,121,155.0,467,20.39558434486389
63816,122,135.0,541,20.88815474510193
64304,123,230.0,723,21.361360788345337
