step,updates,sps,eps,beta,score_avg100,buffer,time,loss,q_mean,td_abs,grad_norm
10000,0,7981.995567401868,1.0,0.0,120.9375,10000,1.252819538116455,,,,
20000,0,8332.491999380969,1.0,0.0,129.0909090909091,20000,2.4529407024383545,,,,
30000,0,8529.671710752424,1.0,0.0,141.53846153846155,30000,3.625318765640259,,,,
40000,0,8399.778024817402,1.0,0.0,142.56944444444446,40000,4.815826416015625,,,,
50000,0,8510.614466874214,1.0,0.0,142.36559139784947,50000,5.990829706192017,,,,
60000,2500,923.6872286989302,0.9670264,0.0,134.7,60000,16.817005157470703,0.007925734358232149,0.018103096717968583,0.03211232571862638,0.020327220617327838
70000,5000,970.358146790064,0.9340264,0.0,134.65,70000,27.122990369796753,0.008486863934558641,0.03328588729724288,0.03439610321540385,0.02351411836454645
80000,7500,1002.8773847695152,0.9010264,0.0,126.4,80000,37.09378719329834,0.008992299329584057,0.04885139014571905,0.035742768179625274,0.02510981923667714
90000,10000,1002.3639400926147,0.8680264,0.0,122.85,90000,47.07020354270935,0.00995943661455385,0.0870084173232317,0.039915453218854965,0.032484041512943804
100000,12500,1004.3194819523773,0.8350264000000001,0.0,121.7,100000,57.02719449996948,0.00845505256598699,0.09652513191103936,0.03527457975782454,0.03134559192694723
110000,15000,1017.0119657794701,0.8020264,0.0,129.55,110000,66.85992050170898,0.009083916861527541,0.11062269393354654,0.0362482583662495,0.03329802072839812
120000,17500,1004.890014445984,0.7690264,0.0,132.1,120000,76.81125831604004,0.007730922507507784,0.11966742813587189,0.03342311480548233,0.031046866418328135
130000,20000,1003.2618236982928,0.7360264000000001,0.0,140.4,130000,86.77874612808228,0.010092988809992676,0.14954897809773685,0.041463805944658816,0.04008170186541975
140000,22500,1000.9364544727795,0.7030263999999999,0.0,145.5,140000,96.76939034461975,0.009151642044635082,0.170799797475338,0.03896969608031213,0.040542507490608844
150000,25000,1012.5748382574807,0.6700264,0.0,151.25,150000,106.6462025642395,0.009572955501462276,0.18029558923095465,0.040388606511987744,0.04504121543839574
160000,27500,1014.4222294929843,0.6370264,0.0,157.55,160000,116.50303173065186,0.010433925773704687,0.19251941222697497,0.04297222323250025,0.04982088463613763
170000,30000,1008.6299908986999,0.6040264,0.0,173.05,170000,126.4190776348114,0.008344482155589503,0.2304534310102463,0.03817486287560314,0.04624975415877998
180000,32500,998.7152652231428,0.5710264,0.0,185.0,180000,136.43033409118652,0.010195249089374556,0.24372066602110862,0.0456578422524035,0.06117166378302499
190000,35000,1001.1084670619684,0.5380264,0.0,179.9,190000,146.41926169395447,0.008978281253366732,0.26755947366356847,0.042538248463533816,0.05895158444531262
200000,37500,1018.2987452064949,0.5050264,0.0,183.95,200000,156.2395625114441,0.009625542995418073,0.26983048520982267,0.04590531849302351,0.0683905300917104
210000,40000,1016.2253550201201,0.47202639999999996,0.0,192.9,210000,166.07989954948425,0.00971079013812414,0.2995720215886831,0.04869233617559075,0.08343015865888447
220000,42500,1000.4749168299218,0.43902639999999993,0.0,178.0,220000,176.07515263557434,0.008735689508248469,0.31102069310843944,0.045808341344818475,0.07906051161698997
230000,45000,999.1831067106195,0.4060264,0.0,182.8,230000,186.0833282470703,0.009276403391268104,0.3337804631143808,0.049969195071607825,0.09784273614175618
240000,47500,1017.4629249094738,0.3730264,0.0,174.3,240000,195.912695646286,0.009118627784482669,0.3655522380769253,0.052679639924317595,0.1114664463326335
250000,50000,1011.1682599689589,0.34002639999999995,0.0,173.15,250000,205.80124711990356,0.009443793331156485,0.40318108797073365,0.05465988391079009,0.11864507679827511
260000,52500,803.6469360862843,0.30702640000000003,0.0,157.3,260000,218.24452233314514,0.010294141731428681,0.42106518656015396,0.05754699057899416,0.12298519788309932
270000,55000,1005.3155864130397,0.2740264,0.0,161.65,270000,228.19164752960205,0.009069687994488049,0.44155679911375045,0.05637106695212424,0.13499754724092783
280000,57500,1003.6053236039645,0.24102639999999997,0.0,166.9,280000,238.15572381019592,0.009937706154596526,0.47428262919187547,0.06143073318526149,0.14255492362193764
290000,60000,1014.9944026898064,0.20802640000000006,0.0,182.35,290000,248.007994890213,0.010420994548476302,0.5218999770283699,0.06335492295213044,0.1660394188761711
300000,62500,1015.6487438965303,0.17502640000000003,0.0,184.05,300000,257.8539185523987,0.009311269790923688,0.5165020798146724,0.06067046800628304,0.14959292732179164
310000,65000,966.1876567623177,0.1420264,0.0,190.7,310000,268.20487928390503,0.010340313907072414,0.5486764220893383,0.06410790101625025,0.17139420565217733
320000,67500,970.26395836597,0.10902640000000008,0.0,201.75,320000,278.511461019516,0.009706250769377221,0.5749663892388344,0.06437292697839439,0.17040098689496516
330000,70000,978.2563417739806,0.07602640000000005,0.0,194.8,330000,288.7326180934906,0.010325377837871201,0.6077612550556659,0.06825467109680176,0.1870577291958034
340000,72500,966.1784202713405,0.04302639999999991,0.0,194.65,340000,299.0826733112335,0.010726969395473135,0.6296334339678288,0.06987711869180202,0.21741070326417686
350000,75000,978.963428026359,0.010026399999999991,0.0,189.85,350000,309.2975594997406,0.01024967874836875,0.6448518668115139,0.06848462041467428,0.19702748704701661
360000,77500,970.4547111501907,0.010000000000000009,0.0,191.55,360000,319.6020073890686,0.009518028620514088,0.6540165135264396,0.0671113345399499,0.20015124220401048
370000,80000,972.9831849885097,0.010000000000000009,0.0,193.15,370000,329.8796772956848,0.00991246429097373,0.6875287538766861,0.06954291954636574,0.21196548011153937
380000,82500,982.2614887049405,0.010000000000000009,0.0,193.5,380000,340.06026577949524,0.010107335494540166,0.7036490041017532,0.07028318542987108,0.2099269001558423
390000,85000,986.6761095908341,0.010000000000000009,0.0,192.5,390000,350.19530391693115,0.009388491084682754,0.7615265882015229,0.06988167718052864,0.2153503192588687
400000,87500,959.9137797170364,0.010000000000000009,0.0,190.6,400000,360.6139054298401,0.009485653987212572,0.7511297890543938,0.07147924056276679,0.21934339283034204
410000,90000,968.8663258417029,0.010000000000000009,0.0,197.0,410000,370.93587350845337,0.010738434457452968,0.8104346019029617,0.07688248405233025,0.2557586562633514
420000,92500,982.797947614855,0.010000000000000009,0.0,200.6,420000,381.1092789173126,0.010176794436993077,0.8334427034854889,0.0763150685466826,0.242887977194041
430000,95000,984.898148859125,0.010000000000000009,0.0,199.8,430000,391.2626130580902,0.010869469293393195,0.8267025819420815,0.07748329817317426,0.22866287941113114
440000,97500,980.5880548904348,0.010000000000000009,0.0,201.35,440000,401.46057534217834,0.009477559298975393,0.8261791971325875,0.07434018177911639,0.24433683529496192
450000,100000,973.9671233987513,0.010000000000000009,0.0,212.75,450000,411.72786235809326,0.010518389150965958,0.8501372024416923,0.07772277146577836,0.2630627968162298
460000,102500,974.0374437072012,0.010000000000000009,0.0,217.35,460000,421.99440813064575,0.010350530023570172,0.9089994117617607,0.07828766508027911,0.25695261895656585
470000,105000,980.088654440717,0.010000000000000009,0.0,216.95,470000,432.1975667476654,0.010963741645682604,0.9281530204415321,0.08213316598907112,0.2776476315408945
480000,107500,981.3458367478488,0.010000000000000009,0.0,218.15,480000,442.3876543045044,0.010387152795447037,0.9517056956887245,0.08080944331362844,0.27625250216573477
