step,episode,score,length,time
8768,1,90.0,276,0.8154165744781494
9056,2,55.0,285,0.8390817642211914
9984,3,55.0,314,0.9082095623016357
10176,4,60.0,320,0.9281954765319824
10272,5,10.0,323,0.9405102729797363
12000,6,110.0,377,1.0642430782318115
12160,7,155.0,382,1.0787999629974365
12224,8,130.0,384,1.0875635147094727
12864,9,65.0,404,1.1329939365386963
12864,10,55.0,404,1.1329939365386963
13920,11,60.0,437,1.2060754299163818
14400,12,125.0,452,1.2435736656188965
14688,13,120.0,461,1.2652802467346191
15008,14,180.0,471,1.2905583381652832
15072,15,150.0,473,1.299278736114502
15552,16,160.0,488,1.3345603942871094
15872,17,150.0,498,1.3593237400054932
15968,18,180.0,501,1.3699114322662354
16000,19,195.0,502,1.3946526050567627
16032,20,135.0,503,1.4159374237060547
16224,21,135.0,509,1.4327855110168457
16832,22,190.0,528,1.47566819190979
17248,23,120.0,541,1.5068204402923584
18592,24,160.0,583,1.598066806793213
18848,25,140.0,591,1.6184399127960205
19616,26,65.0,297,1.6735846996307373
20032,27,210.0,628,1.7044620513916016
21216,28,80.0,290,1.78731107711792
23008,29,455.0,721,1.9096806049346924
23040,30,260.0,722,1.915283441543579
23168,31,55.0,267,1.9285902976989746
23264,32,105.0,455,1.939093828201294
24576,33,135.0,770,2.0303282737731934
24704,34,115.0,394,2.0436031818389893
25248,35,125.0,479,2.082977533340454
25696,36,280.0,805,2.114530324935913
25792,37,270.0,808,2.125629186630249
26944,38,240.0,844,2.2070064544677734
27520,39,100.0,480,2.2494912147521973
28192,40,60.0,397,2.298367977142334
28544,41,50.0,305,2.3257997035980225
28928,42,110.0,380,2.354161024093628
29216,43,170.0,594,2.3788251876831055
29696,44,140.0,495,2.4187774658203125
31168,45,180.0,480,2.5256574153900146
31488,46,180.0,447,2.5513994693756104
31872,47,240.0,715,2.5799481868743896
32128,48,105.0,380,2.603174924850464
32704,49,120.0,524,2.6642215251922607
33216,50,180.0,590,2.702730894088745
33504,51,135.0,550,2.725450038909912
34496,52,55.0,312,2.7947702407836914
