step,updates,sps,eps,beta,score_avg100,buffer,time,loss,q_mean,td_abs,grad_norm
10016,0,10996.951926920396,1.0,0.45055088,66.66666666666667,10016,0.9107978343963623,,,,
20000,0,12671.89704626539,1.0,0.4511,117.3076923076923,20000,1.6986830234527588,,,,
30016,0,13461.188708791076,1.0,0.45165088000000003,136.5909090909091,30016,2.4437479972839355,,,,
40000,0,13118.804110456778,1.0,0.4522,151.53225806451613,40000,3.20414137840271,,,,
50016,0,13130.96595369202,1.0,0.45275088,153.65384615384616,50016,3.9665701389312744,,,,
60000,0,13577.465421923123,1.0,0.45330000000000004,161.95876288659792,60000,4.701906204223633,,,,
70016,0,13249.591605572947,1.0,0.45385088,176.0,70016,5.4578540325164795,,,,
80000,0,13559.009971762269,1.0,0.4544,175.7,80000,6.194190979003906,,,,
90016,0,12956.801622539882,1.0,0.45495088,178.5,90016,6.967221260070801,,,,
100000,0,12597.060982557934,1.0,0.4555,163.8,100000,7.759787082672119,,,,
110016,313,421.50697413978094,0.0,0.45605088,154.25,110016,31.522145986557007,0.013219322853256017,0.14771668434143068,0.1441461418941617,0.04339673164533451
120000,625,544.9564092846952,0.0,0.4566,148.6,120000,49.84287738800049,0.017475994266569615,0.322923583984375,0.20014327831566334,0.052570425271987915
130016,938,555.9710799717825,0.0,0.45715088000000004,143.2,130016,67.85820293426514,0.017982454118318857,0.4746826171875,0.22307763166725636,0.08886031434871257
140000,1250,571.4028911838526,0.0,0.4577,146.6,140000,85.33098816871643,0.011371726174838842,0.59525390625,0.1740951979160309,0.12582518286071717
150016,1563,575.5077202491133,0.0,0.45825088,164.5,150016,102.73475122451782,0.010519056506454945,0.62087890625,0.16849144849926234,0.12186227122321724
160000,1875,565.5685413718066,0.0,0.4588,168.3,160000,120.38778400421143,0.011385940117761492,0.664114990234375,0.18177037470042706,0.12528352780267596
170016,2188,562.1688553348619,0.0,0.45935088,183.4,170016,138.20449495315552,0.014643895071931184,0.830107421875,0.21678152479231358,0.1638053840585053
180000,2500,560.5604105500009,0.0,0.45990000000000003,202.8,180000,156.01624202728271,0.015228070514276625,0.98096923828125,0.22758417844772338,0.19125429525971413
190016,2813,559.9034061958204,0.0,0.46045088,211.3,190016,173.9040424823761,0.01617811341304332,1.1492041015625,0.2367731260508299,0.2008526324108243
200000,3125,561.6607752186854,0.0,0.461,225.95,200000,191.67989659309387,0.016422139308415355,1.2252197265625,0.23916398100554942,0.20201041590422392
210016,3438,562.7925846465315,0.0,0.46155088,235.9,210016,209.47686171531677,0.015970998010598123,1.3140673828125,0.23566584818065167,0.2212568580545485
220000,3750,563.592129928199,0.0,0.4621,259.4,220000,227.19180035591125,0.01481427154969424,1.360595703125,0.2268983519822359,0.2205397155880928
230016,4063,562.7692584021514,0.0,0.46265088,282.3,230016,244.9895031452179,0.015427862892393023,1.4147607421875,0.23055860705673695,0.21767304932698608
