step,episode,score,length,time
3032,1,55.0,381,0.5240130424499512
3104,2,50.0,390,0.5378596782684326
3856,3,80.0,484,0.6418631076812744
3872,4,110.0,486,0.6478629112243652
3952,5,65.0,496,0.6627810001373291
4544,6,150.0,570,0.7442562580108643
4592,7,110.0,576,0.7553849220275879
5704,8,415.0,715,11.129631280899048
6848,9,120.0,470,16.86778736114502
7672,10,180.0,477,20.818973779678345
8248,11,120.0,539,23.60853934288025
8880,12,215.0,630,26.573888778686523
9064,13,180.0,561,27.448108911514282
10496,14,155.0,746,39.80927324295044
11824,15,260.0,767,46.23301911354065
11912,16,70.0,460,46.64669060707092
11952,17,210.0,640,46.83491277694702
12064,18,50.0,377,47.360536098480225
12888,19,715.0,1234,51.319767236709595
13296,20,120.0,705,53.33202028274536
13792,21,210.0,616,55.68115782737732
14080,22,105.0,284,57.03358268737793
14248,23,110.0,471,57.87122559547424
14400,24,80.0,294,58.60693550109863
15904,25,195.0,501,65.74123048782349
16064,26,105.0,399,66.5113685131073
17568,27,305.0,704,73.68485522270203
17824,28,135.0,568,74.89119625091553
18160,29,105.0,491,76.47222948074341
18224,30,115.0,480,76.77491641044617
18584,31,200.0,601,78.46661686897278
